specie,major_axis,minor_axis,area,perimeter,roundness,aspect_ratio,rgb_mean,rgb_variance,rgb_skewness,rgb_kurtosis,rgb_entropy
arborio,70.68390655517578,138.3492889404297,7436.0,360.67618668079376,0.7183139593811758,0.5109090700539184,77.6980684811238,11337.0759137407,0.71996904935334,-1.4512616596384085,9.045736976236105
arborio,72.12248992919922,137.61209106445312,7625.5,375.74725461006165,0.6787136087359716,0.524099949149231,76.40389898094816,10338.872753960555,0.6634114931598624,-1.5213470123441661,9.074005024669992
arborio,68.58692932128906,142.85055541992188,7464.5,372.09039986133575,0.6775067963275971,0.48013064506239894,71.44380763595622,9695.130062275155,0.7378460016218256,-1.4222849575675507,9.061454402849074
arborio,66.3578109741211,118.03169250488281,6005.5,328.1492758989334,0.7008355684097157,0.562203333408745,68.4029116759178,10161.661354848658,0.881597132128319,-1.1936233625043358,8.856184391713402
arborio,75.47754669189453,131.8145294189453,7480.0,356.93607211112976,0.7377862915829994,0.5726041508823713,79.28769505331076,10994.320425625765,0.6441475015818762,-1.5502119245873536,9.046470706908622
arborio,73.22173309326172,143.9636993408203,8159.5,378.9777019023895,0.7139143226710419,0.5086124726478184,78.82539206444426,10548.063650384038,0.6189477844635431,-1.5710606154368505,9.131057081538192
arborio,68.23302459716797,136.55113220214844,7308.5,373.60511922836304,0.6579796750696854,0.49968845733301376,75.01474147414741,10763.23080579125,0.7473790175557595,-1.396268411931981,9.034108419623134
arborio,70.7952651977539,148.719482421875,8217.5,401.34523379802704,0.6410816662979595,0.4760322188113042,81.77691020635805,11171.904669143809,0.6038389882681084,-1.587971236274202,9.138928270963607
arborio,80.13970947265625,155.3268280029297,9614.0,418.6761865615845,0.6892193504875882,0.5159424840063347,95.9598844407759,12918.11419759292,0.408983371376978,-1.7966749092929672,9.27023937505751
arborio,71.39289093017578,130.81211853027344,6994.5,347.17871260643005,0.7292230062474747,0.5457666440411142,69.27629159772017,9092.373148152516,0.7377363281957338,-1.4164623900567226,8.999545493790647
arborio,71.21365356445312,144.27841186523438,7842.0,382.4751763343811,0.6736436106116717,0.49358495594594853,76.502407566638,10452.971748287888,0.6755542424662394,-1.4975078496649483,9.099210700372042
arborio,71.37066650390625,145.00746154785156,8130.0,391.0193326473236,0.66819611965555,0.49218616574674934,83.40164573408401,11710.152409591255,0.6033906989464403,-1.5998648065228773,9.122779220912879
arborio,70.15123748779297,138.3250274658203,7573.0,361.220342874527,0.7293456881815813,0.5071478298106763,82.47612672913878,12245.256212753238,0.6732909522915826,-1.511895468505384,9.052725835351282
arborio,45.38777160644531,130.6746826171875,4485.0,309.82337474823,0.5871430858660832,0.3473340871958277,48.58864884281829,6893.702499570177,1.2465231705153828,-0.40148492538045666,8.627727817011388
arborio,70.22291564941406,143.0537109375,7545.0,375.7888835668564,0.671399866361956,0.4908849633414569,77.38125406812757,11171.731842124427,0.718245725181716,-1.443208751124697,9.06226333513785
arborio,76.11448669433594,142.1981964111328,8351.0,404.13203036785126,0.6425424163656472,0.5352704085941337,78.99114559176962,10481.847625777893,0.6283793041811911,-1.52502663076977,9.156850561512725
arborio,64.027587890625,134.6531982421875,6562.0,347.84776067733765,0.6815028342677344,0.47549994152730674,70.79056790567905,10810.987908515572,0.869916328653679,-1.2223255362601768,8.9376570816826
arborio,68.8338394165039,139.7613067626953,7431.5,373.9482649564743,0.6678259661215789,0.4925099872840974,71.10588390617436,9375.280431427265,0.7125950158603407,-1.456169049099011,9.055093756604553
arborio,70.96075439453125,152.13665771484375,8137.5,393.00208735466003,0.6620810404798875,0.46642772005374294,72.48611574382922,9240.37897667373,0.6646475814164413,-1.505479729930625,9.141504978996219
arborio,70.10752868652344,129.68597412109375,7009.5,366.9188266992569,0.6542698564490443,0.5405945335388452,69.66198399709037,9249.1326537106,0.7468935949841703,-1.3993344145129034,9.007245511461383
arborio,67.29886627197266,132.30801391601562,6942.0,377.30360317230225,0.6127912678606284,0.5086529854094217,63.77932369760007,7876.77659802071,0.7728350599412861,-1.3548096177617877,9.012320363925435
arborio,69.89965057373047,140.10842895507812,7514.0,377.56348943710327,0.6623706378101546,0.49889682651528305,75.27190441708906,9937.615695069793,0.6556027835921355,-1.524900042326771,9.0588521116415
arborio,68.37686920166016,139.90432739257812,7307.0,368.6761865615845,0.6755520217050082,0.48874020179369754,68.27678847598428,8760.140082054986,0.7360170010076402,-1.4119844113573856,9.046428297376188
arborio,71.9113998413086,149.1444549560547,8156.5,394.91882717609406,0.6572007151909495,0.4821593928014101,81.47706774951912,11282.147657484405,0.6205516278834331,-1.5688067660451726,9.132209301441836
arborio,69.24848175048828,140.17498779296875,7574.5,379.68837904930115,0.660251237347187,0.494014537406379,72.19726932393746,9386.893170257568,0.6911818163233725,-1.4687513540458523,9.073228875481787
arborio,60.1328239440918,138.56820678710938,6545.5,343.17871272563934,0.6984125094207505,0.4339583035557172,73.90195992458456,10254.464803893165,0.8332956617554892,-1.187519743293344,9.075924201245506
arborio,71.75052642822266,144.84600830078125,8063.5,386.9188269376755,0.6768520202051644,0.49535729199543055,79.17395420898606,10719.220729776522,0.6247916380221267,-1.5701928148487283,9.122510657632363
arborio,65.86705780029297,128.6959228515625,6503.0,328.4507921934128,0.7575006165570201,0.5118037645704118,66.87398843930636,9381.43138120218,0.8436134359241512,-1.2591756077555052,8.930480827059203
arborio,57.86632537841797,136.10690307617188,6139.0,356.81832230091095,0.6059170921788405,0.42515349383883366,59.02381391064026,7771.333979189692,0.9245909054147416,-1.1110871821538344,8.903631869135685
arborio,61.08393096923828,145.27755737304688,6848.5,367.88939011096954,0.6358736053416024,0.4204636426560066,70.05938523099309,9692.001384271021,0.7896184373322929,-1.3256994940116897,8.986232188654107
arborio,61.391815185546875,107.4180679321289,5077.0,291.8477602005005,0.7490387715789258,0.5715222435795132,54.1148315736551,7582.683646288877,1.097208119677027,-0.7638349863868954,8.723953131685976
arborio,68.67430114746094,140.26979064941406,7377.5,369.68838012218475,0.6783400853487161,0.489587250608389,70.45773420479303,9474.109651511051,0.7497365567165292,-1.393758194706206,9.049413980682871
arborio,63.70098114013672,109.68031311035156,5411.0,318.7350620031357,0.6693106227764458,0.5807877396925908,62.36445410962289,9447.338531873456,1.020236875189235,-0.9130442693791219,8.774350906592458
arborio,68.5605697631836,123.93231201171875,6549.5,351.119837641716,0.6675860860551476,0.5532098017884204,73.49380943836354,11783.90983966008,0.8844358348960567,-1.1852136959796222,8.931514766665583
arborio,69.485595703125,134.9290008544922,7472.0,362.877197265625,0.713062126735896,0.5149789538429804,75.04319240649627,10617.853056695812,0.7258027794804898,-1.4415904671796178,9.053155293697284
arborio,70.45565795898438,144.82461547851562,7957.0,394.47517597675323,0.6425691409019333,0.4864895220069567,77.595511505043,10255.635891306061,0.6238476974341672,-1.5659752761942516,9.1114176719586
arborio,55.76195526123047,113.42935943603516,4938.5,308.1492750644684,0.6535557220769997,0.4916007243492866,55.62151394422311,8263.959577495152,1.136759696381297,-0.6591266219196803,8.697935770625941
arborio,78.20086669921875,135.78578186035156,8102.0,374.0487701892853,0.7276887159228759,0.5759135133871687,75.02974056106306,9844.335120561249,0.6491968774683285,-1.5381028664199259,9.130029938197906
arborio,69.768310546875,138.59153747558594,7320.5,365.4041076898575,0.6889754682881708,0.5034096007425076,71.25874521406196,9745.697104168641,0.7522725550684346,-1.3987503606317373,9.046607650596988
arborio,68.27928924560547,134.5947723388672,6952.0,379.7888847589493,0.6056686952559492,0.5072952541849081,63.09697023862722,7802.151737178577,0.7894536643080555,-1.320525909397235,9.013212286061773
arborio,69.62281036376953,117.28275299072266,5947.5,321.722869515419,0.7220719051449422,0.5936321290929866,68.07070658219277,10391.469198963916,0.9214990628994597,-1.1099950119503563,8.842563315712672
arborio,68.65058898925781,137.25770568847656,7171.5,369.2030973434448,0.6611335480295102,0.5001583601074381,74.88803541205573,11240.559004095086,0.8020414517090867,-1.3086589658951004,9.020279271234195
arborio,67.77449035644531,146.78602600097656,7750.5,384.776692032814,0.6578427175760044,0.4617230413744862,74.3052306622027,9785.792046643392,0.6644058079210472,-1.520315349352101,9.0930256513951
arborio,76.24205017089844,143.76419067382812,8449.0,385.78888499736786,0.7133714956799068,0.5303271267590984,85.91062225015713,12361.361339084835,0.5968645224976983,-1.6093849957893749,9.157755937634622
arborio,61.50887680053711,133.29673767089844,6431.0,346.6761876344681,0.6724195776891486,0.46144322715833297,68.17275487670224,9953.679899955741,0.8725984372416578,-1.2012293947899613,8.923633841386648
arborio,66.63917541503906,128.14813232421875,6473.0,334.81832242012024,0.7255996071112218,0.5200167509772197,67.70061950080805,10093.296302363571,0.9075282936416329,-1.1292217971467124,8.93048174400672
arborio,65.35589599609375,146.17523193359375,7356.0,381.9898954629898,0.6335017730018196,0.44710649767112676,74.96669717972189,10755.741186375713,0.749032627619493,-1.3942813720237295,9.04407703507045
